iter	Logloss
0	0.691824049
1	0.6902169829
2	0.6898403893
3	0.6888435877
4	0.6877509391
5	0.6850016771
6	0.6839341919
7	0.6820529572
8	0.6811453293
9	0.680338698
10	0.6791067146
11	0.678296584
12	0.6772655655
13	0.6762794906
14	0.6747591057
15	0.6739317069
16	0.6727950194
17	0.671525718
18	0.6705330352
19	0.6683506692
20	0.6676672786
21	0.6669063736
22	0.6659346239
23	0.6642009088
24	0.6628607122
25	0.6618762275
26	0.6602021447
27	0.6582607859
28	0.6573638448
29	0.6561243049
30	0.6551035584
31	0.6539364648
32	0.6524478269
33	0.6511097142
34	0.650545889
35	0.6491012494
36	0.6483744953
37	0.6469060949
38	0.6458261598
39	0.644846308
40	0.6438356565
41	0.6432277791
42	0.6426724076
43	0.6418976054
44	0.6412030485
45	0.6398752136
46	0.6390655192
47	0.6374847164
48	0.6369585194
49	0.6364528532
50	0.6357082419
51	0.6345092269
52	0.633591257
53	0.6325617964
54	0.6316956853
55	0.630944559
56	0.6292665859
57	0.6280886943
58	0.6275619755
59	0.6264918682
60	0.6253276763
61	0.6246447506
62	0.6242392483
63	0.6236541276
64	0.6226924742
65	0.622263132
66	0.6211056826
67	0.6204065365
68	0.6192766406
69	0.6185029442
70	0.6179497605
71	0.6171826209
72	0.6166128404
73	0.6148799255
74	0.6135709209
75	0.612745744
76	0.6119157389
77	0.6110135068
78	0.6105461066
79	0.6096837704
80	0.6083675427
81	0.6072310778
82	0.6061654747
83	0.6054858369
84	0.6049565941
85	0.6041687193
86	0.6033245561
87	0.602402547
88	0.6016630826
89	0.600765612
90	0.6001406255
91	0.5985424099
92	0.5971453349
93	0.5963270612
94	0.5952612159
95	0.5940093753
96	0.592966413
97	0.5920554755
98	0.5912003661
99	0.5904441064
100	0.5897914941
101	0.588901152
102	0.587788446
103	0.5870568193
104	0.5860392508
105	0.5850956706
106	0.5841831997
107	0.5833958323
108	0.5824576477
109	0.5817047842
110	0.5802967434
111	0.5792059101
112	0.5785795381
113	0.577749001
114	0.5770552653
115	0.5761991009
116	0.5754904613
117	0.5746896759
118	0.5741969004
119	0.5733639692
120	0.572400184
121	0.5716411024
122	0.5707935082
123	0.5702610513
124	0.5694850254
125	0.5683971564
126	0.5676486596
127	0.5666360167
128	0.5658496375
129	0.5646692308
130	0.5640123891
131	0.5632395188
132	0.5627287591
133	0.5622384508
134	0.5616806443
135	0.5608339846
136	0.5603194892
137	0.5592230653
138	0.5587433318
139	0.5581569031
140	0.5574051475
141	0.5562321896
142	0.5555726359
143	0.5548658714
144	0.5542030255
145	0.5534364124
146	0.5527860567
147	0.5520847996
148	0.5511206746
149	0.5504486675
150	0.5492968798
151	0.5489049186
152	0.5475720723
153	0.5469772205
154	0.5460658759
155	0.5452461417
156	0.544566837
157	0.544213601
158	0.5426411445
159	0.541927964
160	0.5408082843
161	0.5403679987
162	0.5394540523
163	0.5387514124
164	0.5373004347
165	0.5361236125
166	0.5348235374
167	0.5342071414
168	0.5335932021
169	0.5333201289
170	0.5315667892
171	0.5307231997
172	0.5297223806
173	0.5291853055
174	0.5280872881
175	0.5275720959
176	0.5271421234
177	0.5265149946
178	0.5259364491
179	0.5250774488
180	0.5244564061
181	0.5234657953
182	0.5228413234
183	0.5224315569
184	0.5219450623
